[COT 2023-05-29 11:53:56] 76561198930893538: Teleported to position <6799.253906, 15.000000, 11667.167969>
[COT 2023-05-29 11:54:14] 76561198040010982: Teleported to <6797.256836, 15.012443, 11672.290039> [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:20] 76561198930893538: Set GodMode To true [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:22] 76561198930893538: Set cannot be targeted by AI to true [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:22] 76561198930893538: Set UnlimitedStamina To true [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:23] 76561198930893538: Set UnlimitedAmmo To true [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:23] 76561198040010982: Entered the Free Camera
[COT 2023-05-29 11:54:40] 76561198040010982: Left the Free Camera
[COT 2023-05-29 11:57:41] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<e0b6cfa0>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:42] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<ec7d9dd0>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:42] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<ec7e59e0>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:42] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<e31d4030>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:42] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<e3202560>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:42] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<e67898f0>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:42] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<e67882d0>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:42] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<ec1703a0>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:42] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<ec181830>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
[COT 2023-05-29 11:57:43] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<d945f440>, 50000, 100) at <6302.653809, 20.692499, 9522.308594>
